-123.0224991,44.0235575,0
-123.026619,44.0268901,0
-123.0230141,44.036023,0
-123.0303955,44.0484859,0
-123.0501366,44.0451545,0
-123.0714226,44.051447,0
-123.0827522,44.0528041,0
-123.0858421,44.0592191,0
-123.1153679,44.0692104,0
-123.1172562,44.0919004,0
-123.1024933,44.0992974,0
-123.0999184,44.111254,0
-123.1150246,44.1224688,0
-123.1110764,44.1306012,0
-123.1227493,44.1393485,0
-123.1196594,44.146986,0
-123.1354523,44.1674297,0
-123.1273842,44.1792494,0
-123.1435204,44.1835581,0
-123.1517601,44.197959,0
-123.1651497,44.1998051,0
-123.1500435,44.2267504,0
-123.1804276,44.2552818,0
-123.1737328,44.2609373,0
-123.1785393,44.2828162,0
-123.1941605,44.2911723,0
-123.1926155,44.3066526,0
-123.2178497,44.3123031,0
-123.2185364,44.328269,0
-123.2254028,44.331216,0
-123.241024,44.3292513,0
-123.2460022,44.3331807,0
-123.2377625,44.3388286,0
-123.2281494,44.3418979,0
-123.2334709,44.3555237,0
-123.229351,44.3601876,0
-123.2205963,44.359574,0
-123.219223,44.3642376,0
-123.2248878,44.3704961,0
-123.2363892,44.3734411,0
-123.2460022,44.3841153,0
-123.2338142,44.3860781,0
-123.2233429,44.3950328,0
-123.2296944,44.4161262,0
-123.2214546,44.4218887,0
-123.2283211,44.4335347,0
-123.2219696,44.4351282,0
-123.21064,44.4351282,0
-123.2051468,44.444443,0
-123.2128716,44.4504479,0
-123.2120132,44.4575549,0
-123.2178497,44.4728687,0
-123.2137299,44.4793605,0
-123.2214546,44.4851168,0
-123.2140732,44.489648,0
-123.2151031,44.4968727,0
-123.2116699,44.5032394,0
-123.2151031,44.5083813,0
-123.2381058,44.5278428,0
-123.2502937,44.5263742,0
-123.2520103,44.5300456,0
-123.2417107,44.5447287,0
-123.2468605,44.5512125,0
-123.2605934,44.5570841,0
-123.2523537,44.5744506,0
-123.2159615,44.5856993,0
-123.1874657,44.5855771,0
-123.1826591,44.5914452,0
-123.1852341,44.5948679,0
-123.1962204,44.5973126,0
-123.1972504,44.6037906,0
-123.1826591,44.6099013,0
-123.1823158,44.6183329,0
-123.1713295,44.6211432,0
-123.1702995,44.6268855,0
-123.1720161,44.6344596,0
-123.1610298,44.6373912,0
-123.1012917,44.639712,0
-123.0734825,44.6502154,0
-123.0745125,44.659618,0
-123.0939102,44.6763436,0
-123.1160545,44.6756112,0
-123.1246376,44.6952608,0
-123.1462669,44.7114881,0
-123.1500435,44.7288085,0
-123.1337357,44.7385641,0
-123.1337357,44.7447825,0
-123.1466103,44.7496592,0
-123.1467819,44.770868,0
-123.1225777,44.79414,0
-123.0954552,44.8007178,0
-123.0918503,44.8130187,0
-123.1275558,44.8265346,0
-123.1498718,44.8265346,0
-123.1572533,44.8303087,0
-123.1745911,44.8305522,0
-123.1804276,44.8379779,0
-123.1802559,44.859276,0
-123.1702995,44.8646297,0
-123.1497002,44.8601277,0
-123.1227493,44.911818,0
-123.1066132,44.9199626,0
-123.1121063,44.9306582,0
-123.0913353,44.929929,0
-123.0751991,44.9271338,0
-123.0451584,44.9439034,0
-123.036747,44.963219,0
-123.0396652,44.9899341,0
-123.0636978,44.9892057,0
-123.0748558,45.0165155,0
-123.0635262,45.0826119,0
-123.0322838,45.099942,0
-123.0147743,45.1023654,0
-122.9964066,45.1200528,0
-123.0302238,45.1439101,0
-123.0324554,45.1566219,0
-123.0187225,45.1644896,0
-123.0029297,45.1608585,0
-123.0003548,45.1669102,0
-123.015976,45.1768337,0
-123.0223274,45.2019978,0
-123.0448151,45.1978852,0
-123.0525398,45.2171151,0
-123.0326271,45.2230399,0
-123.0008698,45.2224354,0
-122.9948616,45.237789,0
-122.9998398,45.2620803,0
-122.9658508,45.2855158,0
-122.9476547,45.2683629,0
-122.9195023,45.2683629,0
-122.8977013,45.2568845,0
-122.8908348,45.2585762,0
-122.8626823,45.2532593,0
-122.8259468,45.2804429,0
-122.7838898,45.2933657,0
-122.7639771,45.2915543,0
-122.7275848,45.3032671,0
-122.7093887,45.2962639,0
-122.6901627,45.3002486,0
-122.6661301,45.2844288,0
-122.658577,45.2956601,0
-122.6663017,45.3068892,0
-122.6544571,45.3340472,0
-122.6046753,45.3622776,0
-122.6077652,45.3724082,0
-122.6214981,45.3786786,0
-122.6281929,45.3938694,0
-122.6578903,45.4107433,0
-122.6450157,45.444235,0
-122.6558304,45.4490524,0
-122.6704216,45.4876965,0
-122.6683617,45.5259533,0
-122.743721,45.5757204,0
-122.7696419,45.5884556,0
-122.7933311,45.6217217,0
-122.7632904,45.6550881,0
