,ID,name,lat,long,ws,cp,year,day,cat
17490,1171,NOT NAMED,0.0,0.0,0,0,1991,33539.0,UNKNOWN
17491,1171,NOT NAMED,0.0,0.0,0,0,1991,33539.25,UNKNOWN
17492,1171,NOT NAMED,0.0,0.0,0,0,1991,33539.5,UNKNOWN
17493,1171,NOT NAMED,44.0,-59.0,30,1006,1991,33539.75,EXTRATROPICAL STORM
17494,1171,NOT NAMED,43.0,-57.5,40,999,1991,33540.0,EXTRATROPICAL STORM
17495,1171,NOT NAMED,42.5,-55.5,45,992,1991,33540.25,EXTRATROPICAL STORM
17496,1171,NOT NAMED,41.0,-56.0,50,990,1991,33540.5,EXTRATROPICAL STORM
17497,1171,NOT NAMED,39.5,-57.5,50,986,1991,33540.75,EXTRATROPICAL STORM
17498,1171,NOT NAMED,39.0,-59.5,55,981,1991,33541.0,EXTRATROPICAL STORM
17499,1171,NOT NAMED,39.0,-61.5,60,977,1991,33541.25,EXTRATROPICAL STORM
17500,1171,NOT NAMED,39.0,-63.5,60,972,1991,33541.5,EXTRATROPICAL STORM
17501,1171,NOT NAMED,39.6,-65.8,60,978,1991,33541.75,EXTRATROPICAL STORM
17502,1171,NOT NAMED,40.0,-68.5,55,982,1991,33542.0,EXTRATROPICAL STORM
17503,1171,NOT NAMED,39.0,-71.0,55,988,1991,33542.25,EXTRATROPICAL STORM
17504,1171,NOT NAMED,37.7,-71.5,50,992,1991,33542.5,EXTRATROPICAL STORM
17505,1171,NOT NAMED,36.7,-71.5,40,996,1991,33542.75,SUBTROPICAL DEPRESSION
17506,1171,NOT NAMED,36.0,-70.0,50,995,1991,33543.0,SUBTROPICAL DEPRESSION
17507,1171,NOT NAMED,36.2,-68.5,55,993,1991,33543.25,TROPICAL STORM
17508,1171,NOT NAMED,37.0,-67.0,60,988,1991,33543.5,TROPICAL STORM
17509,1171,NOT NAMED,38.2,-66.5,65,980,1991,33543.75,HURRICANE-1
17510,1171,NOT NAMED,39.5,-65.7,65,981,1991,33544.0,HURRICANE-1
17511,1171,NOT NAMED,41.6,-64.7,60,988,1991,33544.25,TROPICAL STORM
17512,1171,NOT NAMED,44.0,-63.6,50,996,1991,33544.5,TROPICAL STORM
17513,1171,NOT NAMED,46.3,-62.6,30,1005,1991,33544.75,TROPICAL DEPRESSION
