,ID,name,lat,long,ws,cp,year,day,cat
2312,480,NOT NAMED,0.0,0.0,0,0,1915,5722.0,UNKNOWN
2313,480,NOT NAMED,0.0,0.0,0,0,1915,5722.25,UNKNOWN
2314,480,NOT NAMED,15.0,-79.5,30,0,1915,5722.5,TROPICAL DEPRESSION
2315,480,NOT NAMED,16.0,-80.0,35,0,1915,5722.75,TROPICAL STORM
2316,480,NOT NAMED,17.0,-80.4,40,0,1915,5723.0,TROPICAL STORM
2317,480,NOT NAMED,18.0,-80.8,45,0,1915,5723.25,TROPICAL STORM
2318,480,NOT NAMED,19.0,-81.0,50,0,1915,5723.5,TROPICAL STORM
2319,480,NOT NAMED,19.3,-81.1,55,0,1915,5723.75,TROPICAL STORM
2320,480,NOT NAMED,19.6,-81.2,60,0,1915,5724.0,TROPICAL STORM
2321,480,NOT NAMED,20.0,-81.3,65,0,1915,5724.25,HURRICANE-1
2322,480,NOT NAMED,20.5,-81.5,75,0,1915,5724.5,HURRICANE-1
2323,480,NOT NAMED,21.1,-82.1,85,0,1915,5724.75,HURRICANE-2
2324,480,NOT NAMED,21.7,-82.8,85,0,1915,5725.0,HURRICANE-2
2325,480,NOT NAMED,22.6,-83.6,80,0,1915,5725.25,HURRICANE-1
2326,480,NOT NAMED,24.0,-84.0,80,0,1915,5725.5,HURRICANE-1
2327,480,NOT NAMED,25.6,-84.4,80,0,1915,5725.75,HURRICANE-1
2328,480,NOT NAMED,27.2,-84.8,80,0,1915,5726.0,HURRICANE-1
2329,480,NOT NAMED,28.7,-85.2,80,0,1915,5726.25,HURRICANE-1
2330,480,NOT NAMED,30.2,-85.4,70,982,1915,5726.5,HURRICANE-1
2331,480,NOT NAMED,31.8,-85.3,50,1003,1915,5726.75,TROPICAL STORM
2332,480,NOT NAMED,33.5,-85.0,35,0,1915,5727.0,TROPICAL STORM
2333,480,NOT NAMED,35.3,-84.7,30,0,1915,5727.25,TROPICAL DEPRESSION
2334,480,NOT NAMED,36.9,-84.6,30,0,1915,5727.5,TROPICAL DEPRESSION
2335,480,NOT NAMED,38.4,-84.6,25,0,1915,5727.75,TROPICAL DEPRESSION
2336,480,NOT NAMED,39.8,-84.6,25,0,1915,5728.0,TROPICAL DEPRESSION
2337,480,NOT NAMED,41.1,-84.7,25,0,1915,5728.25,TROPICAL DEPRESSION
2338,480,NOT NAMED,42.4,-84.9,25,0,1915,5728.5,TROPICAL DEPRESSION
2339,480,NOT NAMED,43.5,-85.2,20,0,1915,5728.75,TROPICAL DEPRESSION
