,ID,name,lat,long,ws,cp,year,day,cat
2864,503,NOT NAMED,0.0,0.0,0,0,1918,6809.0,UNKNOWN
2865,503,NOT NAMED,12.0,-57.5,60,0,1918,6809.25,TROPICAL STORM
2866,503,NOT NAMED,12.1,-59.0,60,0,1918,6809.5,TROPICAL STORM
2867,503,NOT NAMED,12.3,-60.6,60,0,1918,6809.75,TROPICAL STORM
2868,503,NOT NAMED,12.7,-62.4,60,0,1918,6810.0,TROPICAL STORM
2869,503,NOT NAMED,13.2,-64.4,60,0,1918,6810.25,TROPICAL STORM
2870,503,NOT NAMED,13.7,-66.5,60,0,1918,6810.5,TROPICAL STORM
2871,503,NOT NAMED,14.1,-68.4,60,0,1918,6810.75,TROPICAL STORM
2872,503,NOT NAMED,14.5,-70.4,60,0,1918,6811.0,TROPICAL STORM
2873,503,NOT NAMED,14.9,-72.3,65,0,1918,6811.25,HURRICANE-1
2874,503,NOT NAMED,15.2,-74.4,70,0,1918,6811.5,HURRICANE-1
2875,503,NOT NAMED,15.3,-76.4,75,0,1918,6811.75,HURRICANE-1
2876,503,NOT NAMED,15.4,-78.8,80,0,1918,6812.0,HURRICANE-1
2877,503,NOT NAMED,15.5,-80.9,85,0,1918,6812.25,HURRICANE-2
2878,503,NOT NAMED,15.6,-83.0,90,968,1918,6812.5,HURRICANE-2
2879,503,NOT NAMED,15.8,-85.2,80,0,1918,6812.75,HURRICANE-1
2880,503,NOT NAMED,16.1,-87.6,70,0,1918,6813.0,HURRICANE-1
2881,503,NOT NAMED,16.5,-89.4,45,0,1918,6813.25,TROPICAL STORM
2882,503,NOT NAMED,17.0,-91.0,30,0,1918,6813.5,TROPICAL DEPRESSION
2883,503,NOT NAMED,0.0,0.0,0,0,1918,6813.75,UNKNOWN
