,ID,name,lat,long,ws,cp,year,day,cat
11232,896,FLORA,0.0,0.0,0,0,1963,23280.0,UNKNOWN
11233,896,FLORA,0.0,0.0,0,0,1963,23280.25,UNKNOWN
11234,896,FLORA,8.0,-33.0,25,0,1963,23280.5,TROPICAL DEPRESSION
11235,896,FLORA,81.0,-34.8,25,0,1963,23280.75,TROPICAL DEPRESSION
11236,896,FLORA,82.0,-36.5,25,0,1963,23281.0,TROPICAL DEPRESSION
11237,896,FLORA,83.0,-38.3,30,0,1963,23281.25,TROPICAL DEPRESSION
11238,896,FLORA,85.0,-40.0,30,0,1963,23281.5,TROPICAL DEPRESSION
11239,896,FLORA,87.0,-41.6,30,0,1963,23281.75,TROPICAL DEPRESSION
11240,896,FLORA,88.0,-43.2,30,0,1963,23282.0,TROPICAL DEPRESSION
11241,896,FLORA,9.0,-44.7,30,0,1963,23282.25,TROPICAL DEPRESSION
11242,896,FLORA,92.0,-46.3,30,0,1963,23282.5,TROPICAL DEPRESSION
11243,896,FLORA,95.0,-47.9,30,0,1963,23282.75,TROPICAL DEPRESSION
11244,896,FLORA,98.0,-49.5,30,0,1963,23283.0,TROPICAL DEPRESSION
11245,896,FLORA,99.0,-51.1,30,0,1963,23283.25,TROPICAL DEPRESSION
11246,896,FLORA,10.0,-52.8,40,1000,1963,23283.5,TROPICAL STORM
11247,896,FLORA,10.1,-54.4,55,0,1963,23283.75,TROPICAL STORM
11248,896,FLORA,10.3,-56.0,70,0,1963,23284.0,HURRICANE-1
11249,896,FLORA,10.4,-57.6,85,0,1963,23284.25,HURRICANE-2
11250,896,FLORA,10.7,-59.1,100,994,1963,23284.5,HURRICANE-3
11251,896,FLORA,11.2,-60.7,105,978,1963,23284.75,HURRICANE-3
11252,896,FLORA,11.6,-62.0,110,981,1963,23285.0,HURRICANE-3
11253,896,FLORA,12.0,-63.3,110,981,1963,23285.25,HURRICANE-3
11254,896,FLORA,12.5,-64.8,115,974,1963,23285.5,HURRICANE-4
11255,896,FLORA,13.0,-66.0,115,975,1963,23285.75,HURRICANE-4
11256,896,FLORA,13.6,-67.3,120,970,1963,23286.0,HURRICANE-4
11257,896,FLORA,14.1,-68.3,120,0,1963,23286.25,HURRICANE-4
11258,896,FLORA,14.6,-69.2,120,968,1963,23286.5,HURRICANE-4
11259,896,FLORA,15.1,-70.0,120,968,1963,23286.75,HURRICANE-4
11260,896,FLORA,15.5,-70.6,120,0,1963,23287.0,HURRICANE-4
11261,896,FLORA,15.9,-71.4,125,0,1963,23287.25,HURRICANE-4
11262,896,FLORA,16.5,-72.0,125,940,1963,23287.5,HURRICANE-4
11263,896,FLORA,17.1,-72.5,125,944,1963,23287.75,HURRICANE-4
11264,896,FLORA,18.0,-73.1,125,944,1963,23288.0,HURRICANE-4
11265,896,FLORA,19.1,-74.2,105,995,1963,23288.25,HURRICANE-3
11266,896,FLORA,19.3,-74.5,105,970,1963,23288.5,HURRICANE-3
11267,896,FLORA,20.3,-74.9,105,970,1963,23288.75,HURRICANE-3
11268,896,FLORA,20.8,-75.9,110,0,1963,23289.0,HURRICANE-3
11269,896,FLORA,20.8,-76.5,110,0,1963,23289.25,HURRICANE-3
11270,896,FLORA,20.8,-76.8,105,985,1963,23289.5,HURRICANE-3
11271,896,FLORA,20.5,-77.0,100,0,1963,23289.75,HURRICANE-3
11272,896,FLORA,20.4,-77.4,100,0,1963,23290.0,HURRICANE-3
11273,896,FLORA,20.3,-77.6,95,0,1963,23290.25,HURRICANE-2
11274,896,FLORA,20.2,-77.9,90,985,1963,23290.5,HURRICANE-2
11275,896,FLORA,20.5,-78.1,85,0,1963,23290.75,HURRICANE-2
11276,896,FLORA,20.6,-78.3,85,0,1963,23291.0,HURRICANE-2
11277,896,FLORA,20.7,-78.2,80,0,1963,23291.25,HURRICANE-1
11278,896,FLORA,20.8,-78.1,80,986,1963,23291.5,HURRICANE-1
11279,896,FLORA,21.0,-78.0,75,0,1963,23291.75,HURRICANE-1
11280,896,FLORA,21.3,-77.7,75,0,1963,23292.0,HURRICANE-1
11281,896,FLORA,21.2,-77.0,75,989,1963,23292.25,HURRICANE-1
11282,896,FLORA,21.1,-76.2,70,990,1963,23292.5,HURRICANE-1
11283,896,FLORA,21.5,-75.4,75,990,1963,23292.75,HURRICANE-1
11284,896,FLORA,21.7,-74.4,75,983,1963,23293.0,HURRICANE-1
11285,896,FLORA,22.3,-72.8,75,0,1963,23293.25,HURRICANE-1
11286,896,FLORA,23.5,-71.6,80,975,1963,23293.5,HURRICANE-1
11287,896,FLORA,25.0,-70.0,85,965,1963,23293.75,HURRICANE-2
11288,896,FLORA,26.0,-68.3,95,965,1963,23294.0,HURRICANE-2
11289,896,FLORA,27.1,-66.5,95,969,1963,23294.25,HURRICANE-2
11290,896,FLORA,28.1,-64.9,100,969,1963,23294.5,HURRICANE-3
