,ID,name,lat,long,ws,cp,year,day,cat
9392,820,DIANE,0.0,0.0,0,0,1955,20308.0,UNKNOWN
9393,820,DIANE,17.0,-43.0,25,0,1955,20308.25,TROPICAL DEPRESSION
9394,820,DIANE,17.1,-44.0,25,0,1955,20308.5,TROPICAL DEPRESSION
9395,820,DIANE,17.2,-45.1,25,0,1955,20308.75,TROPICAL DEPRESSION
9396,820,DIANE,17.3,-46.1,25,0,1955,20309.0,TROPICAL DEPRESSION
9397,820,DIANE,17.5,-46.9,25,0,1955,20309.25,TROPICAL DEPRESSION
9398,820,DIANE,17.7,-47.8,25,0,1955,20309.5,TROPICAL DEPRESSION
9399,820,DIANE,17.9,-49.0,25,0,1955,20309.75,TROPICAL DEPRESSION
9400,820,DIANE,18.0,-50.2,25,0,1955,20310.0,TROPICAL DEPRESSION
9401,820,DIANE,18.2,-51.4,30,0,1955,20310.25,TROPICAL DEPRESSION
9402,820,DIANE,18.5,-52.6,30,0,1955,20310.5,TROPICAL DEPRESSION
9403,820,DIANE,18.9,-54.3,35,0,1955,20310.75,TROPICAL STORM
9404,820,DIANE,19.3,-55.9,35,0,1955,20311.0,TROPICAL STORM
9405,820,DIANE,19.8,-57.0,35,0,1955,20311.25,TROPICAL STORM
9406,820,DIANE,20.3,-58.0,35,0,1955,20311.5,TROPICAL STORM
9407,820,DIANE,21.1,-58.9,40,0,1955,20311.75,TROPICAL STORM
9408,820,DIANE,22.0,-59.8,45,0,1955,20312.0,TROPICAL STORM
9409,820,DIANE,22.7,-60.4,50,0,1955,20312.25,TROPICAL STORM
9410,820,DIANE,23.3,-60.8,55,0,1955,20312.5,TROPICAL STORM
9411,820,DIANE,23.6,-61.1,60,0,1955,20312.75,TROPICAL STORM
9412,820,DIANE,24.0,-61.1,65,0,1955,20313.0,HURRICANE-1
9413,820,DIANE,24.7,-61.0,90,0,1955,20313.25,HURRICANE-2
9414,820,DIANE,25.3,-60.8,105,975,1955,20313.5,HURRICANE-3
9415,820,DIANE,25.9,-60.7,105,0,1955,20313.75,HURRICANE-3
9416,820,DIANE,26.4,-60.5,105,0,1955,20314.0,HURRICANE-3
9417,820,DIANE,26.9,-60.5,105,969,1955,20314.25,HURRICANE-3
9418,820,DIANE,27.4,-61.0,105,0,1955,20314.5,HURRICANE-3
9419,820,DIANE,27.4,-62.2,105,0,1955,20314.75,HURRICANE-3
9420,820,DIANE,27.2,-63.4,105,0,1955,20315.0,HURRICANE-3
9421,820,DIANE,27.3,-64.4,105,0,1955,20315.25,HURRICANE-3
9422,820,DIANE,27.4,-65.4,105,0,1955,20315.5,HURRICANE-3
9423,820,DIANE,27.6,-66.7,105,0,1955,20315.75,HURRICANE-3
9424,820,DIANE,28.0,-68.1,100,0,1955,20316.0,HURRICANE-3
9425,820,DIANE,28.5,-69.4,95,0,1955,20316.25,HURRICANE-2
9426,820,DIANE,29.1,-70.6,95,0,1955,20316.5,HURRICANE-2
9427,820,DIANE,29.6,-72.0,90,0,1955,20316.75,HURRICANE-2
9428,820,DIANE,30.2,-73.4,85,0,1955,20317.0,HURRICANE-2
9429,820,DIANE,30.7,-74.3,85,0,1955,20317.25,HURRICANE-2
9430,820,DIANE,31.2,-75.0,85,0,1955,20317.5,HURRICANE-2
9431,820,DIANE,32.0,-76.0,80,0,1955,20317.75,HURRICANE-1
9432,820,DIANE,32.8,-76.9,75,0,1955,20318.0,HURRICANE-1
9433,820,DIANE,33.5,-77.5,75,0,1955,20318.25,HURRICANE-1
9434,820,DIANE,34.3,-78.0,60,986,1955,20318.5,TROPICAL STORM
9435,820,DIANE,35.4,-78.5,60,990,1955,20318.75,TROPICAL STORM
9436,820,DIANE,36.6,-79.0,60,993,1955,20319.0,TROPICAL STORM
9437,820,DIANE,37.7,-79.0,55,999,1955,20319.25,TROPICAL STORM
9438,820,DIANE,38.8,-78.1,50,1001,1955,20319.5,TROPICAL STORM
9439,820,DIANE,39.6,-76.8,45,1004,1955,20319.75,TROPICAL STORM
9440,820,DIANE,40.2,-75.3,40,1003,1955,20320.0,TROPICAL STORM
9441,820,DIANE,40.7,-73.7,40,1002,1955,20320.25,TROPICAL STORM
9442,820,DIANE,41.0,-72.1,35,1000,1955,20320.5,TROPICAL STORM
9443,820,DIANE,41.3,-70.4,35,0,1955,20320.75,TROPICAL STORM
9444,820,DIANE,41.5,-68.6,35,0,1955,20321.0,TROPICAL STORM
9445,820,DIANE,41.8,-66.6,35,0,1955,20321.25,TROPICAL STORM
9446,820,DIANE,42.1,-64.0,35,0,1955,20321.5,TROPICAL STORM
9447,820,DIANE,42.6,-60.7,35,0,1955,20321.75,EXTRATROPICAL STORM
9448,820,DIANE,43.3,-57.0,35,0,1955,20322.0,EXTRATROPICAL STORM
9449,820,DIANE,44.2,-53.2,35,0,1955,20322.25,EXTRATROPICAL STORM
9450,820,DIANE,45.0,-49.3,35,0,1955,20322.5,EXTRATROPICAL STORM
9451,820,DIANE,46.2,-45.9,30,0,1955,20322.75,EXTRATROPICAL STORM
