,ID,name,lat,long,ws,cp,year,day,cat
15040,1058,BONNIE,12.7,-35.5,25,1010,1980,29447.0,TROPICAL DEPRESSION
15041,1058,BONNIE,13.5,-36.6,30,1008,1980,29447.25,TROPICAL DEPRESSION
15042,1058,BONNIE,14.7,-37.3,35,1005,1980,29447.5,TROPICAL STORM
15043,1058,BONNIE,15.7,-37.5,45,1000,1980,29447.75,TROPICAL STORM
15044,1058,BONNIE,16.7,-37.8,45,1000,1980,29448.0,TROPICAL STORM
15045,1058,BONNIE,17.7,-37.9,45,1000,1980,29448.25,TROPICAL STORM
15046,1058,BONNIE,18.8,-38.1,45,1000,1980,29448.5,TROPICAL STORM
15047,1058,BONNIE,20.4,-38.5,55,995,1980,29448.75,TROPICAL STORM
15048,1058,BONNIE,22.0,-38.7,75,985,1980,29449.0,HURRICANE-1
15049,1058,BONNIE,23.7,-38.9,85,975,1980,29449.25,HURRICANE-2
15050,1058,BONNIE,24.8,-39.1,85,975,1980,29449.5,HURRICANE-2
15051,1058,BONNIE,25.8,-39.4,85,975,1980,29449.75,HURRICANE-2
15052,1058,BONNIE,27.0,-39.7,75,985,1980,29450.0,HURRICANE-1
15053,1058,BONNIE,28.0,-40.0,65,990,1980,29450.25,HURRICANE-1
15054,1058,BONNIE,29.0,-40.3,65,990,1980,29450.5,HURRICANE-1
15055,1058,BONNIE,30.0,-40.5,65,990,1980,29450.75,HURRICANE-1
15056,1058,BONNIE,31.1,-40.5,65,990,1980,29451.0,HURRICANE-1
15057,1058,BONNIE,32.4,-40.5,65,990,1980,29451.25,HURRICANE-1
15058,1058,BONNIE,34.0,-40.5,65,990,1980,29451.5,HURRICANE-1
15059,1058,BONNIE,35.9,-40.5,65,990,1980,29451.75,HURRICANE-1
15060,1058,BONNIE,38.2,-40.2,65,990,1980,29452.0,HURRICANE-1
15061,1058,BONNIE,41.9,-39.8,65,990,1980,29452.25,HURRICANE-1
15062,1058,BONNIE,46.5,-38.4,65,995,1980,29452.5,HURRICANE-1
15063,1058,BONNIE,51.0,-36.0,45,1000,1980,29452.75,EXTRATROPICAL STORM
