,ID,name,lat,long,ws,cp,year,day,cat
20714,1300,KYLE,0.0,0.0,0,0,2002,37519.0,UNKNOWN
20715,1300,KYLE,0.0,0.0,0,0,2002,37519.25,UNKNOWN
20716,1300,KYLE,0.0,0.0,0,0,2002,37519.5,UNKNOWN
20717,1300,KYLE,28.3,-51.8,25,1007,2002,37519.75,SUBTROPICAL DEPRESSION
20718,1300,KYLE,29.3,-51.4,30,1007,2002,37520.0,SUBTROPICAL DEPRESSION
20719,1300,KYLE,30.4,-51.6,35,1007,2002,37520.25,SUBTROPICAL DEPRESSION
20720,1300,KYLE,31.0,-51.6,35,1007,2002,37520.5,SUBTROPICAL DEPRESSION
20721,1300,KYLE,31.7,-51.3,40,1006,2002,37520.75,SUBTROPICAL DEPRESSION
20722,1300,KYLE,32.4,-50.9,45,1004,2002,37521.0,SUBTROPICAL DEPRESSION
20723,1300,KYLE,32.8,-50.5,40,1006,2002,37521.25,SUBTROPICAL DEPRESSION
20724,1300,KYLE,33.2,-49.9,40,1006,2002,37521.5,SUBTROPICAL DEPRESSION
20725,1300,KYLE,33.3,-49.5,40,1006,2002,37521.75,SUBTROPICAL DEPRESSION
20726,1300,KYLE,33.2,-49.1,35,1007,2002,37522.0,TROPICAL STORM
20727,1300,KYLE,32.7,-49.4,35,1007,2002,37522.25,TROPICAL STORM
20728,1300,KYLE,32.3,-49.5,35,1005,2002,37522.5,TROPICAL STORM
20729,1300,KYLE,31.9,-49.6,40,1003,2002,37522.75,TROPICAL STORM
20730,1300,KYLE,31.4,-50.0,40,1003,2002,37523.0,TROPICAL STORM
20731,1300,KYLE,31.0,-50.4,45,1000,2002,37523.25,TROPICAL STORM
20732,1300,KYLE,30.6,-50.7,50,997,2002,37523.5,TROPICAL STORM
20733,1300,KYLE,30.3,-51.1,55,994,2002,37523.75,TROPICAL STORM
20734,1300,KYLE,30.0,-52.1,55,994,2002,37524.0,TROPICAL STORM
20735,1300,KYLE,29.7,-53.7,55,994,2002,37524.25,TROPICAL STORM
20736,1300,KYLE,29.3,-54.4,60,990,2002,37524.5,TROPICAL STORM
20737,1300,KYLE,29.0,-55.3,65,987,2002,37524.75,HURRICANE-1
20738,1300,KYLE,28.6,-56.6,65,987,2002,37525.0,HURRICANE-1
20739,1300,KYLE,28.2,-57.5,70,984,2002,37525.25,HURRICANE-1
20740,1300,KYLE,27.9,-58.3,75,982,2002,37525.5,HURRICANE-1
20741,1300,KYLE,27.8,-59.0,75,981,2002,37525.75,HURRICANE-1
20742,1300,KYLE,27.5,-59.5,75,980,2002,37526.0,HURRICANE-1
20743,1300,KYLE,27.1,-60.0,75,982,2002,37526.25,HURRICANE-1
20744,1300,KYLE,27.0,-60.4,75,982,2002,37526.5,HURRICANE-1
20745,1300,KYLE,26.8,-60.8,70,984,2002,37526.75,HURRICANE-1
