,ID,name,lat,long,ws,cp,year,day,cat
20294,1279,ERIN,0.0,0.0,0,0,2001,37135.0,UNKNOWN
20295,1279,ERIN,0.0,0.0,0,0,2001,37135.25,UNKNOWN
20296,1279,ERIN,0.0,0.0,0,0,2001,37135.5,UNKNOWN
20297,1279,ERIN,12.5,-34.3,30,1006,2001,37135.75,TROPICAL DEPRESSION
20298,1279,ERIN,12.9,-35.9,30,1005,2001,37136.0,TROPICAL DEPRESSION
20299,1279,ERIN,13.2,-37.5,40,1002,2001,37136.25,TROPICAL STORM
20300,1279,ERIN,13.5,-39.0,45,1003,2001,37136.5,TROPICAL STORM
20301,1279,ERIN,14.1,-40.6,45,1003,2001,37136.75,TROPICAL STORM
20302,1279,ERIN,14.7,-42.2,45,1003,2001,37137.0,TROPICAL STORM
20303,1279,ERIN,15.3,-43.7,50,1003,2001,37137.25,TROPICAL STORM
20304,1279,ERIN,15.9,-45.3,50,1003,2001,37137.5,TROPICAL STORM
20305,1279,ERIN,16.3,-47.1,40,1002,2001,37137.75,TROPICAL STORM
20306,1279,ERIN,16.7,-48.7,40,1002,2001,37138.0,TROPICAL STORM
20307,1279,ERIN,17.0,-50.3,45,1000,2001,37138.25,TROPICAL STORM
20308,1279,ERIN,17.0,-52.0,45,1000,2001,37138.5,TROPICAL STORM
20309,1279,ERIN,17.2,-53.4,45,1000,2001,37138.75,TROPICAL STORM
20310,1279,ERIN,17.4,-54.8,45,1000,2001,37139.0,TROPICAL STORM
20311,1279,ERIN,17.8,-55.9,45,1000,2001,37139.25,TROPICAL STORM
20312,1279,ERIN,18.1,-57.0,35,1013,2001,37139.5,TROPICAL STORM
20313,1279,ERIN,19.0,-57.9,25,1014,2001,37139.75,TROPICAL DEPRESSION
20314,1279,ERIN,20.1,-58.1,15,1015,2001,37140.0,TROPICAL DEPRESSION
20315,1279,ERIN,21.2,-58.2,15,1015,2001,37140.25,TROPICAL DEPRESSION
20316,1279,ERIN,22.2,-58.3,20,1014,2001,37140.5,TROPICAL DEPRESSION
20317,1279,ERIN,23.2,-58.4,25,1013,2001,37140.75,TROPICAL DEPRESSION
20318,1279,ERIN,23.9,-58.1,25,1012,2001,37141.0,TROPICAL DEPRESSION
20319,1279,ERIN,24.4,-57.6,30,1008,2001,37141.25,TROPICAL DEPRESSION
20320,1279,ERIN,24.9,-57.8,30,1008,2001,37141.5,TROPICAL DEPRESSION
20321,1279,ERIN,25.3,-58.0,35,1005,2001,37141.75,TROPICAL STORM
20322,1279,ERIN,26.0,-58.3,35,1004,2001,37142.0,TROPICAL STORM
20323,1279,ERIN,26.5,-58.8,40,999,2001,37142.25,TROPICAL STORM
20324,1279,ERIN,27.2,-59.2,45,999,2001,37142.5,TROPICAL STORM
20325,1279,ERIN,28.4,-59.8,60,994,2001,37142.75,TROPICAL STORM
20326,1279,ERIN,29.7,-60.4,75,987,2001,37143.0,HURRICANE-1
20327,1279,ERIN,30.6,-61.3,90,982,2001,37143.25,HURRICANE-2
20328,1279,ERIN,31.5,-62.2,95,979,2001,37143.5,HURRICANE-2
20329,1279,ERIN,32.4,-62.8,105,968,2001,37143.75,HURRICANE-3
20330,1279,ERIN,33.3,-63.3,105,969,2001,37144.0,HURRICANE-3
20331,1279,ERIN,34.2,-64.1,105,969,2001,37144.25,HURRICANE-3
20332,1279,ERIN,34.9,-64.7,100,969,2001,37144.5,HURRICANE-3
20333,1279,ERIN,35.7,-65.4,90,970,2001,37144.75,HURRICANE-2
20334,1279,ERIN,36.4,-65.7,80,973,2001,37145.0,HURRICANE-1
20335,1279,ERIN,36.9,-65.9,80,976,2001,37145.25,HURRICANE-1
20336,1279,ERIN,37.4,-65.6,80,976,2001,37145.5,HURRICANE-1
20337,1279,ERIN,37.8,-65.1,80,976,2001,37145.75,HURRICANE-1
20338,1279,ERIN,38.0,-64.3,80,976,2001,37146.0,HURRICANE-1
20339,1279,ERIN,38.0,-63.3,75,979,2001,37146.25,HURRICANE-1
20340,1279,ERIN,37.9,-62.6,75,979,2001,37146.5,HURRICANE-1
20341,1279,ERIN,37.9,-62.0,75,979,2001,37146.75,HURRICANE-1
20342,1279,ERIN,38.1,-61.4,75,979,2001,37147.0,HURRICANE-1
20343,1279,ERIN,38.3,-61.0,70,982,2001,37147.25,HURRICANE-1
20344,1279,ERIN,38.8,-60.6,70,982,2001,37147.5,HURRICANE-1
20345,1279,ERIN,39.6,-60.2,70,982,2001,37147.75,HURRICANE-1
20346,1279,ERIN,40.6,-59.3,70,982,2001,37148.0,HURRICANE-1
20347,1279,ERIN,42.0,-58.1,65,987,2001,37148.25,HURRICANE-1
20348,1279,ERIN,43.3,-56.7,65,987,2001,37148.5,HURRICANE-1
