,ID,name,lat,long,ws,cp,year,day,cat
16040,1106,DANNY,18.5,-80.7,25,1010,1985,31271.0,TROPICAL DEPRESSION
16041,1106,DANNY,19.2,-81.4,25,1010,1985,31271.25,TROPICAL DEPRESSION
16042,1106,DANNY,19.9,-82.1,25,1010,1985,31271.5,TROPICAL DEPRESSION
16043,1106,DANNY,20.5,-82.9,25,1011,1985,31271.75,TROPICAL DEPRESSION
16044,1106,DANNY,21.1,-83.7,25,1011,1985,31272.0,TROPICAL DEPRESSION
16045,1106,DANNY,21.7,-84.6,25,1011,1985,31272.25,TROPICAL DEPRESSION
16046,1106,DANNY,22.3,-85.6,30,1011,1985,31272.5,TROPICAL DEPRESSION
16047,1106,DANNY,23.0,-86.7,30,1011,1985,31272.75,TROPICAL DEPRESSION
16048,1106,DANNY,23.7,-87.8,35,1010,1985,31273.0,TROPICAL STORM
16049,1106,DANNY,24.4,-88.8,45,1007,1985,31273.25,TROPICAL STORM
16050,1106,DANNY,25.1,-89.8,50,1004,1985,31273.5,TROPICAL STORM
16051,1106,DANNY,25.9,-90.7,60,1001,1985,31273.75,TROPICAL STORM
16052,1106,DANNY,26.8,-91.5,70,997,1985,31274.0,HURRICANE-1
16053,1106,DANNY,27.8,-92.2,75,995,1985,31274.25,HURRICANE-1
16054,1106,DANNY,28.9,-92.6,80,988,1985,31274.5,HURRICANE-1
16055,1106,DANNY,30.0,-92.7,70,988,1985,31274.75,HURRICANE-1
16056,1106,DANNY,31.0,-92.4,50,992,1985,31275.0,TROPICAL STORM
16057,1106,DANNY,32.0,-92.0,40,997,1985,31275.25,TROPICAL STORM
16058,1106,DANNY,32.9,-91.4,30,1000,1985,31275.5,TROPICAL DEPRESSION
16059,1106,DANNY,33.7,-90.4,30,1002,1985,31275.75,TROPICAL DEPRESSION
16060,1106,DANNY,34.3,-89.2,30,1004,1985,31276.0,TROPICAL DEPRESSION
16061,1106,DANNY,34.7,-87.8,30,1006,1985,31276.25,TROPICAL DEPRESSION
16062,1106,DANNY,35.0,-86.3,30,1008,1985,31276.5,TROPICAL DEPRESSION
16063,1106,DANNY,35.3,-84.8,30,1010,1985,31276.75,TROPICAL DEPRESSION
16064,1106,DANNY,35.6,-83.4,25,1011,1985,31277.0,TROPICAL DEPRESSION
16065,1106,DANNY,35.8,-82.0,25,1011,1985,31277.25,TROPICAL DEPRESSION
16066,1106,DANNY,36.0,-80.6,25,1012,1985,31277.5,TROPICAL DEPRESSION
16067,1106,DANNY,36.3,-79.2,25,1012,1985,31277.75,TROPICAL DEPRESSION
16068,1106,DANNY,36.7,-77.9,25,1012,1985,31278.0,EXTRATROPICAL STORM
16069,1106,DANNY,37.1,-76.6,25,1012,1985,31278.25,EXTRATROPICAL STORM
16070,1106,DANNY,37.5,-75.3,25,1012,1985,31278.5,EXTRATROPICAL STORM
16071,1106,DANNY,38.0,-74.0,25,1013,1985,31278.75,EXTRATROPICAL STORM
16072,1106,DANNY,38.5,-72.7,20,1013,1985,31279.0,EXTRATROPICAL STORM
16073,1106,DANNY,39.1,-71.5,20,1014,1985,31279.25,EXTRATROPICAL STORM
16074,1106,DANNY,39.7,-70.4,20,1014,1985,31279.5,EXTRATROPICAL STORM
16075,1106,DANNY,40.4,-69.4,20,1014,1985,31279.75,EXTRATROPICAL STORM
